key,value
default_tier,B
tone,"técnico, sobrio y concreto; sin superlativos ni lenguaje comercial"
person,"primera persona del plural (proponemos, ejecutaremos)"
units,Sistema Internacional; decimal con coma en español
date_format,dd/mm/aaaa
forbidden_words,"revolucionario, líder mundial, solución llave en mano definitiva, best-in-class, sinergia"
must_mention,"continuidad de la operación, trazabilidad documental"
warranty_months,24
validity_days,30
incoterm,DAP
term:cliente final,el Cliente
term:máquina,equipo
