kind,id,chapter_id,lang,applies_when,title,body
premise,pre_01,limites_alcance_premisas,es,always,,La documentación técnica facilitada por el Cliente refleja fielmente la instalación existente en el momento de la oferta.
premise,pre_02,limites_alcance_premisas,es,always,,Los equipos existentes que no se sustituyen se encuentran en estado operativo y con su mantenimiento al día.
premise,pre_03,limites_alcance_premisas,es,scope:installation,,"Se dispone de acceso al área de trabajo en las ventanas horarias acordadas, libre de obstáculos y de otros gremios."
premise,pre_04,limites_alcance_premisas,es,scope:installation,,El Cliente facilita punto de acopio cubierto y con seguridad para materiales y herramienta durante la ejecución.
premise,pre_05,limites_alcance_premisas,es,always,,"Las infraestructuras existentes (canalizaciones, bandejas, cuadros, tomas de tierra) son aptas para su reutilización."
premise,pre_06,limites_alcance_premisas,es,scope:commissioning,,El Cliente dispone de personal de operación y mantenimiento durante la puesta en marcha y las pruebas de aceptación.
premise,pre_07,limites_alcance_premisas,es,always,,Los plazos indicados parten de la fecha de recepción del pedido en firme y de la aprobación de la ingeniería de detalle.
premise,pre_08,limites_alcance_premisas,es,tier:C,,La información del pliego es completa y no sufrirá modificaciones sustanciales tras la presentación de la oferta.
premise,pre_01,limites_alcance_premisas,en,always,,The technical documentation supplied by the Client faithfully reflects the existing installation at the time of this offer.
premise,pre_02,limites_alcance_premisas,en,always,,Existing equipment that is not being replaced is operational and up to date with its maintenance.
premise,pre_03,limites_alcance_premisas,en,scope:installation,,"Access to the work area is available within the agreed time windows, clear of obstructions and of other trades."
premise,pre_04,limites_alcance_premisas,en,scope:installation,,"The Client provides a covered, secured storage area for materials and tools during execution."
premise,pre_05,limites_alcance_premisas,en,always,,"Existing infrastructure (conduits, trays, cabinets, earthing) is suitable for reuse."
premise,pre_06,limites_alcance_premisas,en,scope:commissioning,,The Client makes operations and maintenance personnel available during commissioning and acceptance testing.
premise,pre_07,limites_alcance_premisas,en,always,,Stated lead times run from receipt of a firm order and approval of the detailed engineering.
premise,pre_08,limites_alcance_premisas,en,tier:C,,The tender information is complete and will not be substantially amended after submission.
exclusion,exc_01,limites_alcance_exclusiones,es,always,,"Obra civil de cualquier naturaleza: cimentaciones, forjados, aperturas, refuerzos estructurales."
exclusion,exc_02,limites_alcance_exclusiones,es,always,,"Suministro eléctrico hasta el cuadro general de la instalación, y cualquier modificación de la acometida."
