kind,id,chapter_id,lang,applies_when,title,body
clause,bo_estandar,bases_oferta,es,,,"Si no se ha especificado previamente, esta oferta se basa estrictamente en el estándar de diseño y en las especificaciones de los equipos de BEUMER Group."
clause,bo_estandar,bases_oferta,en,,,"Unless otherwise specified, this offer is based strictly on BEUMER Group's design standard and equipment specifications."
clause,as_documentacion,alcance_suministro_documentacion,es,,,"La documentación afectada por la intervención se actualiza y se entrega en formato electrónico, conforme a los estándares habituales de BEUMER y en el idioma de esta oferta.

•  Actualización de los esquemas eléctricos de los armarios afectados.
•  Documentación técnica de los equipos suministrados.
•  Información de configuración relevante para el mantenimiento.
•  Protocolos de prueba firmados."
clause,as_documentacion,alcance_suministro_documentacion,en,,,"The documentation affected by the works is updated and delivered electronically, in line with BEUMER's usual standards and in the language of this offer.

•  Updated electrical drawings for the affected cabinets.
•  Technical documentation for the supplied equipment.
•  Configuration information relevant to maintenance.
•  Signed test protocols."
clause,ej_envio,ejecucion_transporte,es,scope:shipping,,"El suministro incluye el embalaje y el transporte del material hasta las instalaciones del Cliente bajo Incoterms DAP.

El Cliente será responsable de recibir, descargar y almacenar el material en un lugar seguro, protegido y conocido."
clause,ej_envio,ejecucion_transporte,en,scope:shipping,,"The supply includes packing and transport of the material to the Client's premises under Incoterms DAP.

The Client is responsible for receiving, unloading and storing the material in a safe, protected and identified location."
clause,ej_recepcion,ejecucion_recepcion,es,scope:commissioning,,"Tras la finalización del plan de pruebas se procede a la aceptación de los trabajos por parte del Cliente.

La aceptación se documenta y recoge, en su caso, los puntos pendientes y su plazo de subsanación. Los puntos pendientes que no impidan la operación normal del sistema no suspenden la aceptación."
clause,ej_recepcion,ejecucion_recepcion,en,scope:commissioning,,"Once the test plan is complete, the works are accepted by the Client.

Acceptance is documented and records any outstanding items and their remedy period. Outstanding items that do not prevent normal operation of the system do not suspend acceptance."
clause,cu1_recurso,custom_1,es,scope:installation,,"La ejecución de los trabajos incluye la figura del recurso preventivo exigida por la normativa española de prevención de riesgos laborales, cuando la actividad lo requiera.

•  Designación de recurso preventivo durante las actividades que lo exijan.
•  Aportación de la documentación de coordinación de actividades empresariales antes del inicio de los trabajos.
•  Personal con formación en prevención y reconocimiento médico en vigor.
•  Evaluación de riesgos específica para los trabajos que se ejecuten con el sistema en operación."
clause,cu1_recurso,custom_1,en,scope:installation,,"The works include the preventive resource role required by Spanish occupational health and safety regulations, where the activity calls for it.

•  A designated preventive resource during the activities that require one.
•  Contractor-coordination documentation provided before work starts.
•  Personnel with current safety training and medical clearance.
•  A specific risk assessment for work carried out with the system in operation."
